userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,category,sub_topic,top_emotion,emotion_confidence,risk_score,priority_level
User_11485,,"Difficult to change my home and work addresses. I would change them repeatedly, save the change if that was an option on the screen, then go to the previous screen again and find out that my home or work addresses had reverted to their previous settings. Tried multiple times, tried exiting and restarting the app, didn't seem to make any difference. Mildly annoying. Other settings such as checking my reserved ride were a little challenging to find, but that may change as I use the app more. 4",3,150,4.553.10000,2024-11-25 22:15:38,,,4.553.10000,Service Issues,App UI & Technical Feedback,annoyance,0.6958614587783813,9.192448589485213,Tier 1: Immediate Intervention
User_3433,,Horrible service.,1,0,4.555.10003,2024-12-11 10:23:32,,,4.555.10003,Service Issues,Wait Times & Delays,fear,0.8648061752319336,8.648061752319336,Tier 1: Immediate Intervention
User_4059,,Horrible and expensive,1,0,4.555.10003,2024-12-09 23:19:08,,,4.555.10003,Service Issues,Billing & Overcharging,fear,0.8628957867622375,8.628957867622375,Tier 1: Immediate Intervention
User_10411,,Horrible ap,1,0,,2024-11-27 21:55:17,,,,Service Issues,Emergency/Safety Concerns,fear,0.8525099158287048,8.525099158287048,Tier 1: Immediate Intervention
User_5426,,horrible app,1,0,4.530.10000,2024-12-07 03:52:47,,,4.530.10000,Service Issues,App UI & Technical Feedback,fear,0.8279983997344971,8.27998399734497,Tier 1: Immediate Intervention
User_8876,,Waiting times are currently terrible.,3,0,4.554.10001,2024-11-30 20:22:16,,,4.554.10001,Service Issues,Wait Times & Delays,fear,0.8238868117332458,8.238868117332458,Tier 1: Immediate Intervention
User_2437,,Worst app! I urgently needed to go to a place and first I wasn't able to find a driver. When someone accepted the ride the driver cancelled after 5 minutes. It's so frustrating! Worst app. There is no proper customer care services and the prices are also very high. Edit: Today I had to wait for 20 minutes. At last the driver cancelled the ride and I got late. If a customer cancels the ride he/she has to pay charges but drivers don't need to pay any. WHY??,1,67,4.555.10003,2024-12-13 14:19:52,,,4.555.10003,Service Issues,Wait Times & Delays,annoyance,0.6620874404907227,8.192032348120442,Tier 1: Immediate Intervention
User_7686,,"Worst app and membership program ever. Customer service is useless, and if you have a problem with any of your food items, don't think they will refund or replace anything. They charge you randomly and more than they are supposed to. When I went to cancel my uber one membership,they convinced me to keep it and charge me $1.99 for the next 3 months, so I kept it. Days later I was charged $3.00 and then $9.99 again. Customer service told me it was a pending charge and would not go through but nope",1,239,4.554.10001,2024-12-02 20:43:56,,,4.554.10001,Service Issues,Billing & Overcharging,annoyance,0.4371771812438965,8.103702010805371,Tier 1: Immediate Intervention
User_8620,,"Uber services are getting frustrating day-by-day, especially at railway stations, airports, and bus stands. First, they take a lot of time to search the cab and confirm. Thereafter, wait time remains pretty long. More than often, the first driver cancels the ride. Then, one has to repeat the whole process with much increased prices. Uber must come with a more robust system and substantially increase no. of cabs.",3,149,4.554.10001,2024-12-01 08:54:53,,,4.554.10001,Service Issues,Wait Times & Delays,annoyance,0.49288541078567505,7.967947758810306,Tier 2: Urgent Investigation
User_1039,,"Uber shuttle was booked in advance but after waiting for tracking almost when the expected time for arrival is over. I got a message that we had to cancel the trip from uber shuttle. What the hell , can't you guys handle a simple booking. I had to get an ola ride after this paid 1000rs yeah right I had to bookola ride. Because your uber ride is not anywhere near me available. So much time just to book it. I'm so annoyed with your app uber.",2,35,4.556.10005,2024-12-16 09:54:23,,,4.556.10005,Service Issues,Wait Times & Delays,annoyance,0.7235156297683716,7.924612717066339,Tier 2: Urgent Investigation
User_6362,,"The customer service for billing on business trips is AWFUL. They applied a credit that I had, even though I had unchecked it for use, and ended up causing a major issue with billing on my expense report that resulted in a huge issue with my expense report and the accounting department where I work. I have asked for resolution over, and over, and over again, and they are ignoring me. I don't trust Uber at all!!!",1,87,4.554.10001,2024-12-05 06:59:17,,,4.554.10001,Service Issues,Billing & Overcharging,annoyance,0.5463979244232178,7.7557243610175135,Tier 2: Urgent Investigation
User_10355,,"I will update my review if my issue is resolved in an acceptable manner. I have used Uber for many years and for the most part have had a decent experience. I recently had an experience that I believe qualifies as a ""bait and switch"" scam and I attempted to resolve the issue through their customer service and received the same unsatisfactory response multiple times. I reserved and was charged for a premium vehicle but the driver showed up in a different, non premium vehicle.",1,108,4.553.10000,2024-11-27 23:48:19,,,4.553.10000,Service Issues,Billing & Overcharging,disappointment,0.5994783639907837,7.688739702183062,Tier 2: Urgent Investigation
User_9254,,"This has got to be the worst app on here. I have tried MULTIPLE times to reserve a ride. I select the date days in advance, the time, etc. It says it's confirming it, then bam. My ride is happening immediately. Then I get charged a $25 cancelation fee for immediately canceling a ride I booked to be days in the future and not immediately? What a scam. Update: After speaking with customer service, I was refunded the cancellation fee. It still sucks that this happened in the first place.",3,35,4.554.10001,2024-11-30 05:06:34,,,4.554.10001,Service Issues,Billing & Overcharging,annoyance,0.6806471943855286,7.667402104769281,Tier 2: Urgent Investigation
User_3217,,horrible Never available when needed the most!,1,0,4.555.10003,2024-12-11 21:07:50,,,4.555.10003,Service Issues,Wait Times & Delays,fear,0.753296434879303,7.53296434879303,Tier 2: Urgent Investigation
User_6593,,"Horrible , can't get through",1,0,4.554.10001,2024-12-04 19:46:21,,,4.554.10001,Service Issues,Wait Times & Delays,fear,0.7492619156837463,7.492619156837463,Tier 2: Urgent Investigation
User_810,,"I booked a ride at ₹363. The driver took some different route than the one showing in the the app. When I reached my destination, the fare was ₹477. While we were unloading the luggage (which took 1 min), the fare raised to ₹482 and kept on increasing. Why are we getting charged when the driver took the wrong route or even when the cab was idle at the destination. The driver was also very rude. He was not accepting that he took the wrong route and was blaming us.",1,70,4.556.10005,2024-12-16 20:56:05,,,4.556.10005,Service Issues,Billing & Overcharging,annoyance,0.5345351099967957,7.469890537022089,Tier 2: Urgent Investigation
