userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,category,sub_topic,top_emotion,emotion_confidence,risk_score,priority_level
User_3479,,Terrific 👍,5,0,4.555.10003,2024-12-11 07:43:20,,,4.555.10003,Positive,Value for Money,fear,0.8724789023399353,8.724789023399353,Non-Actionable
User_2323,,"Horrible. Nada eficaz, super mala app. Esta mejor DiDi la plataforma es por mucho mejor",2,0,,2024-12-13 19:32:56,,,,Positive,Value for Money,fear,0.7266138195991516,7.266138195991516,Non-Actionable
User_1393,,Uber is a life saver. I use uber mostly for sending packages. Previously a lot of drivers used to cancel trips but nowadays that has decreased a bit. The only thing annoys me when drivers cancel after arriving at the pickup spot finding out it's a package delivery. I always tip drivers who are well behaved and well mannered.,4,32,4.556.10005,2024-12-15 15:09:42,,,4.556.10005,Positive,Value for Money,annoyance,0.6007040739059448,7.100732004902149,Non-Actionable
User_6074,,It is very difficult to make contact regarding a driver or an issue. Can't you make this app easier to navigate with a subtitle or such so one can tap & it gives a direct area to write a problem to you instead of tapping on one area then open that area up and tap on another and so forth just to get to the help one needs. Please make your app senior friendly! I depend on you for rides. Thank you.,2,171,4.554.10001,2024-12-05 19:37:18,,,4.554.10001,Positive,App UI & Technical Feedback,gratitude,0.9326506853103638,6.0801451621238165,Non-Actionable
User_3240,,"I will now be using Bolt instead of Uber. On 23 May 2023 I attempted to request a ride. I was not allowed to select the ""pick,up now"" option. I had to accept scheduled ride 45 mins later. Another person at the same pick-up point could request a ride that arrived within 8 mins. Uber and the Uber app has now failed me twice. There are alternatives to Uber like Bolt. U will certainly from now on use Bolt.",5,169,4.555.10003,2024-12-11 19:48:29,,,4.555.10003,Positive,Value for Money,neutral,0.7122045159339905,5.8480029529842525,Non-Actionable
User_222,,Awsome,5,0,,2024-12-18 04:14:42,,,,Positive,Value for Money,disgust,0.818055272102356,5.726386904716492,Non-Actionable
User_9549,,Awsome,5,0,4.554.10001,2024-11-29 17:30:02,,,4.554.10001,Positive,Value for Money,disgust,0.818055272102356,5.726386904716492,Non-Actionable
User_8219,,Awsome,5,0,,2024-12-01 23:10:52,,,,Positive,Value for Money,disgust,0.818055272102356,5.726386904716492,Non-Actionable
User_5916,,"The Uber app is incredibly convenient and reliable! It’s easy to use, with a seamless interface that makes booking a ride quick and hassle-free. I love how I can track my driver in real-time and get an accurate ETA. The payment process is straightforward, and having fare estimates upfront is a huge plus. The drivers are generally professional and friendly, and the availability of different ride options is great for any budget or occasion. Uber has made getting around so much easier.",5,132,4.554.10001,2024-12-06 03:33:35,,,4.554.10001,Positive,Driver Professionalism,admiration,0.6690442562103271,5.559393384432081,Non-Actionable
User_5315,,"I use Uber in the UK as well as whenever I am in Nigeria. The experience is very good and it is very convenient in so many ways. I know the cost of the journey in advance, and I pay Uber through my bank account. The drivers always turn up on time, and they never charge me any extra money. Uber is the best and most convenient way to move around anywhere in the world. 👌👍❤️",5,65,4.555.10003,2024-12-07 10:39:16,,,4.555.10003,Positive,Value for Money,approval,0.7175504565238953,4.9072051985503204,Non-Actionable
User_1552,,I need this app to have notifications turned on for ordinary use when I request a ride. It is extremely annoying that you use the notifications to push general purpose advertising for your app. Stop trying to upsell me and just be glad I'm using your app at all.,3,0,4.555.10003,2024-12-15 08:24:28,,,4.555.10003,Positive,Value for Money,annoyance,0.7406398057937622,4.443838834762573,Non-Actionable
User_430,,first the experience was very nice and prices were budget friendly but suddenly the price of the cabs specially the auto prices skyrocketed the auto cab which we used to book for ₹110 to ₹125 now for the same distance its charging ₹170 to ₹220. Huge disappointment. Very very rarely going to use uber in near future.,3,0,4.556.10005,2024-12-17 18:14:56,,,4.556.10005,Positive,Billing & Overcharging,disappointment,0.8781526684761047,4.390763342380524,Non-Actionable
User_6448,,The one main complaint I have with this app is the GPS is off not by a lot but the driver is one side of the street and I'm on the other. It's not always but sometimes. The GPS gives the driver weird direction. Like I thought we would be going this way but goes the other way. Like turning up the street but go back to the same street we left? I give it four stars. But overall the app is good.,4,39,4.555.10003,2024-12-05 01:14:29,,,4.555.10003,Positive,Value for Money,admiration,0.5754601955413818,4.264339649655318,Non-Actionable
User_8307,,good but two days are very worse I'm facing,5,0,4.554.10001,2024-12-01 19:57:48,,,4.554.10001,Positive,Value for Money,disgust,0.6081177592277527,4.256824314594269,Non-Actionable
User_1176,,Reliable app Less disappointing,5,0,4.556.10005,2024-12-16 00:21:38,,,4.556.10005,Positive,Value for Money,disappointment,0.8399385213851929,4.199692606925964,Non-Actionable
User_2352,,"Great, though the notifications become annoying",4,0,4.556.10005,2024-12-13 18:44:21,,,4.556.10005,Positive,Value for Money,annoyance,0.6205825209617615,3.723495125770569,Non-Actionable
User_5507,,Cost is ridiculous. I'm not going to keep using this for a way to work much longer.,2,0,4.554.10001,2024-12-06 23:12:35,,,4.554.10001,Positive,Value for Money,annoyance,0.6205742955207825,3.723445773124695,Non-Actionable
User_2888,,Flawless,5,0,4.555.10003,2024-12-12 15:25:08,,,4.555.10003,Positive,Value for Money,anger,0.4135378897190094,3.7218410074710846,Non-Actionable
User_9535,,"I use Uber very frequently and have been for a few years without any notable issues or complaints. My pickups are quick and drivers are always very nice. Having this option, that is a lot cheaper than the local cab companies, is a much welcome and greatly appreciated convenience in my life! Update: Wrote this in 2022; it's now November of 2024 and I'm still loving Uber with no complaints! 💖",5,23,4.554.10001,2024-11-29 18:10:57,,,4.554.10001,Positive,Value for Money,joy,0.40398192405700684,3.5820357544049526,Non-Actionable
User_3497,,This app is garbage. I only gave it one star because you can't give a rating of 0 or negative stars. This is the least user-friendly app I've ever used. I had to use Lyft because I could not get Uber to accept my pickup location at ATL Int. Airport.,1,1,4.555.10003,2024-12-11 06:14:14,,,4.555.10003,Positive,App UI & Technical Feedback,annoyance,0.4756086766719818,3.5467992405918363,Non-Actionable
User_9422,,I was very happy with this appp But today i could not have been veryyy much disappointed double the amount for traffeling seriously i always use uber but today you disappointed me i usually paid R150 to R170 but today OVER R200 SERIOUSLY,1,0,4.554.10001,2024-11-29 21:48:11,,,4.554.10001,Positive,Billing & Overcharging,disappointment,0.7038748264312744,3.519374132156372,Non-Actionable
